,OV Circuit Value,Value Feature,Output Feature
56,0.2573,5764: symbols and punctuation marks that indicate changes in data or versioning,8048:  occurrences of selectors and method calls within Objective-C or Swift code
57,0.2568,529: probable suggestions or hypotheses implied by the text,3602: references to binding actions or concepts in programming contexts
58,0.2556,7709:  numerical values and coding elements,1467:  words and phrases related to social equity and representation issues
59,-0.2542,3769: formal language structures and specific coding language syntax,879: conditional phrases and references to evidence or support
60,-0.2542,529: probable suggestions or hypotheses implied by the text,14651: elements related to chemical compounds and their structural components
61,0.2534,8058: terms related to construction and contracting services,5670: phrases related to implications and consequences in scientific contexts
62,0.2527,3769: formal language structures and specific coding language syntax,912:  references to structural models and their connections in a technical context
63,-0.252,9803: commenting styles in code,13158: mathematical equations and physical variables related to scientific concepts
64,-0.252,8791:  sentences expressing uncertainty or seeking clarification,11482: numerical representations or indicators related to data or formatting elements
65,-0.25,"563: the context or formatting of sections in a document, particularly those marked with specific tags such as <bos>",11482: numerical representations or indicators related to data or formatting elements
66,0.2495,9134: mathematical functions and operations related to combinatorial coefficients,2460: awards and accolades related to film and literature
67,0.2476,15402: punctuation and sentence-ending markers,483: elements related to error handling and message formatting in code
68,0.2474,8791:  sentences expressing uncertainty or seeking clarification,5764: different types of hats and roofs
69,-0.2451,8058: terms related to construction and contracting services,8048:  occurrences of selectors and method calls within Objective-C or Swift code
70,0.2441,867:  mathematical notation and formal expressions in the document,"14706:  the word ""In"" and its variations, indicating a focus on references to time or context"
71,0.244,8692: terms related to the implementation process in various contexts,5670: phrases related to implications and consequences in scientific contexts
72,0.243,"563: the context or formatting of sections in a document, particularly those marked with specific tags such as <bos>",5764: different types of hats and roofs
73,-0.2427,14842: numerical values and related characters,13698:  mathematical or logical expressions and structures in the text
74,0.2427,"5940: the definite article ""the"" and variations of it",13158: mathematical equations and physical variables related to scientific concepts
75,-0.2424,8692: terms related to the implementation process in various contexts,8048:  occurrences of selectors and method calls within Objective-C or Swift code
76,0.2413,"6405: references to formulas, theorems, and structural components in a technical context",11482: numerical representations or indicators related to data or formatting elements
77,0.24,14842: numerical values and related characters,1467:  words and phrases related to social equity and representation issues
78,-0.239,14842: numerical values and related characters,879: conditional phrases and references to evidence or support
79,0.2382,9752: the presence of numerical values and their associated contexts or relationships,1466: specific numeric values or symbols related to data organization in programming contexts
80,0.2382,14842: numerical values and related characters,912:  references to structural models and their connections in a technical context
81,-0.2374,"5940: the definite article ""the"" and variations of it",1391:  prepositions and their relationships in sentences
82,0.2373,5511: frequently occurring articles in a text,12699:  phrases indicating sets or collections of items
83,-0.2372,9752: the presence of numerical values and their associated contexts or relationships,8623: content related to scientific publications and technical specifications
84,0.2362,8280: app names and features associated with service accessibility,1391:  prepositions and their relationships in sentences
85,-0.236,8280: app names and features associated with service accessibility,13158: mathematical equations and physical variables related to scientific concepts
86,0.2355,1986: terms related to professional roles and relationships,9306:  phrases and terms related to legal and procedural contexts
87,0.2354,4571:  semicolon-separated statements and variable assignments in code,13698:  mathematical or logical expressions and structures in the text
88,-0.2345,"7009: proper nouns, specifically names of people",13698:  mathematical or logical expressions and structures in the text
89,0.2338,"4352: references to competitive sports events, particularly in relation to tournaments",5670: phrases related to implications and consequences in scientific contexts
90,0.2328,10128: specific proper nouns and their variations,879: conditional phrases and references to evidence or support
91,0.232,"13462:  occurrences of the word ""little.""",14388:  references to specific individuals and their relationships
92,-0.232,"6405: references to formulas, theorems, and structural components in a technical context",5764: different types of hats and roofs
93,0.2318,"13462:  occurrences of the word ""little.""",9965:  phrases associated with violence or aggression
94,0.2317,5447: terms related to variation and its impact in different contexts,483: elements related to error handling and message formatting in code
95,-0.2316,4571:  semicolon-separated statements and variable assignments in code,1467:  words and phrases related to social equity and representation issues
96,0.2308,3606:  legal terminology and procedural language related to court cases,12699:  phrases indicating sets or collections of items
97,-0.2306,1986: terms related to professional roles and relationships,14188: references to names and personal identifiers
98,0.2305,12613: method definitions and their overriding annotations in programming code,"3151: terms related to the condition and maintenance of items, particularly with a focus on visual damage or wear"
99,0.23,1678: elements related to innovation and entrepreneurship,4339: code and programming concepts related to recursion and recursive functions
100,-0.2295,10128: specific proper nouns and their variations,912:  references to structural models and their connections in a technical context
101,-0.2289,"4352: references to competitive sports events, particularly in relation to tournaments",8048:  occurrences of selectors and method calls within Objective-C or Swift code
102,0.2284,11087: specific structural elements or commands in programming and mathematical contexts,14393:  strings that indicate formatting or structured data outputs
103,0.2283,4523: mathematical symbols and expressions,14188: references to names and personal identifiers
104,0.2281,2131:  mathematical expressions or formulae within the text,3602: references to binding actions or concepts in programming contexts
105,-0.2279,"13462:  occurrences of the word ""little.""",5256:  HTML element identifiers and their attributes
106,-0.2278,11087: specific structural elements or commands in programming and mathematical contexts,10964: mathematical terms and symbols
107,-0.2278,4523: mathematical symbols and expressions,9306:  phrases and terms related to legal and procedural contexts
108,0.2277,"7009: proper nouns, specifically names of people",1467:  words and phrases related to social equity and representation issues
109,-0.2266,6740: elements of mathematical or programming syntax,879: conditional phrases and references to evidence or support
110,0.2261,5411: references to legal processes and legislative terms,8930:  expressions of contrast or concession
111,-0.2261,3112:  keywords and parameters related to querying in databases or programming contexts,879: conditional phrases and references to evidence or support
112,-0.2258,8660:  scientific notation and mathematical expressions related to physical concepts,11482: numerical representations or indicators related to data or formatting elements
113,-0.2256,14942:  sequences of numerical values and their representations,"14706:  the word ""In"" and its variations, indicating a focus on references to time or context"
114,0.2253,4571:  semicolon-separated statements and variable assignments in code,879: conditional phrases and references to evidence or support
115,-0.2253,13029: references to narrative elements related to storytelling and reflections on personal experiences,13698:  mathematical or logical expressions and structures in the text
116,0.2251,2312:  occurrences of fragmented code snippets and related technical content,12557: elements related to character relationships and dynamics within a narrative
117,0.2249,7501:  references to addresses or address-related concepts,13698:  mathematical or logical expressions and structures in the text
118,0.2246,3112:  keywords and parameters related to querying in databases or programming contexts,912:  references to structural models and their connections in a technical context
119,0.2241,3174: references to physical characteristics or conditions of surfaces and bodies in a scientific context,9249:  mathematical expressions or notations
120,-0.2236,4571:  semicolon-separated statements and variable assignments in code,912:  references to structural models and their connections in a technical context
121,-0.2229,5888: elements related to database models and data structures,14388:  references to specific individuals and their relationships
122,-0.2228,3174: references to physical characteristics or conditions of surfaces and bodies in a scientific context,490: phrases related to self-awareness and personal identity
123,0.2223,6740: elements of mathematical or programming syntax,912:  references to structural models and their connections in a technical context
124,0.2218,"14112: references to downloads, PC games, demographics, and census data",11482: numerical representations or indicators related to data or formatting elements
125,-0.2217,6025: document citations and references to academic sources,9306:  phrases and terms related to legal and procedural contexts
126,-0.2212,12613: method definitions and their overriding annotations in programming code,1330:  mathematical expressions and functions involving probability and logarithms
127,0.2212,13029: references to narrative elements related to storytelling and reflections on personal experiences,1467:  words and phrases related to social equity and representation issues
128,0.2206,12782: specific dates and events related to patents and their issuance,13158: mathematical equations and physical variables related to scientific concepts
129,-0.2205,2312:  occurrences of fragmented code snippets and related technical content,5042:  function calls and operations related to managing collections or data structures
130,-0.2205,8692: terms related to the implementation process in various contexts,15170:  references to Muslims and related cultural or religious terms and events
131,0.2203,5888: elements related to database models and data structures,5256:  HTML element identifiers and their attributes
132,-0.22,2131:  mathematical expressions or formulae within the text,14651: elements related to chemical compounds and their structural components
133,-0.2198,7501:  references to addresses or address-related concepts,1467:  words and phrases related to social equity and representation issues
134,0.2197,12192:  components and classes related to the Java Swing framework,8623: content related to scientific publications and technical specifications
135,0.2196,9752: the presence of numerical values and their associated contexts or relationships,5670: phrases related to implications and consequences in scientific contexts
136,-0.2189,12192:  components and classes related to the Java Swing framework,1466: specific numeric values or symbols related to data organization in programming contexts
137,0.2186,5764: symbols and punctuation marks that indicate changes in data or versioning,15170:  references to Muslims and related cultural or religious terms and events
138,-0.2172,3156: references to alternative options or entities,5670: phrases related to implications and consequences in scientific contexts
139,0.217,6025: document citations and references to academic sources,14188: references to names and personal identifiers
140,0.2162,7578:  numerical sequences and values related to statistics or data representation,13793: terms related to classification and assessment of information
141,-0.2161,8658: structured data and technical specifics related to categories and attributes,14188: references to names and personal identifiers
142,-0.216,8340: expressions of gratitude,13698:  mathematical or logical expressions and structures in the text
143,0.2158,3156: references to alternative options or entities,8048:  occurrences of selectors and method calls within Objective-C or Swift code
144,-0.2158,12229:  special characters and formatting elements used in programming or markup languages,3602: references to binding actions or concepts in programming contexts
145,0.2156,9835: references to geographical locations and organizational terms related to structures and systems,879: conditional phrases and references to evidence or support
146,0.2152,8658: structured data and technical specifics related to categories and attributes,9306:  phrases and terms related to legal and procedural contexts
147,0.2152,12229:  special characters and formatting elements used in programming or markup languages,14651: elements related to chemical compounds and their structural components
148,0.2152,3112:  keywords and parameters related to querying in databases or programming contexts,3602: references to binding actions or concepts in programming contexts
149,0.2152,9184:  instances of commas and punctuation that lead into statements or clauses,14677: terms related to historical events and their socio-economic implications
150,-0.2151,12782: specific dates and events related to patents and their issuance,1391:  prepositions and their relationships in sentences
151,-0.2151,"14112: references to downloads, PC games, demographics, and census data",5764: different types of hats and roofs
152,-0.2147,9835: references to geographical locations and organizational terms related to structures and systems,912:  references to structural models and their connections in a technical context
153,0.2146,12614: references to mail and mailing practices,11482: numerical representations or indicators related to data or formatting elements
154,0.2142,8692: terms related to the implementation process in various contexts,15386: references to user-related information and actions within a programming or software context
155,-0.2137,5411: references to legal processes and legislative terms,1494: time frames and sequences of actions
156,-0.2124,14878: references to 'the' in various contexts,11482: numerical representations or indicators related to data or formatting elements
157,-0.2123,13304:  assignment statements involving function calls or expressions,1391:  prepositions and their relationships in sentences
158,0.2122,8660:  scientific notation and mathematical expressions related to physical concepts,5764: different types of hats and roofs
159,0.2115,8340: expressions of gratitude,1467:  words and phrases related to social equity and representation issues
160,0.2114,8263: technical terms and concepts related to Windows systems and management,11482: numerical representations or indicators related to data or formatting elements
161,-0.2114,5764: symbols and punctuation marks that indicate changes in data or versioning,15386: references to user-related information and actions within a programming or software context
162,-0.2113,1694: indicators of location and presence in various contexts,13698:  mathematical or logical expressions and structures in the text
163,-0.2112,2131:  mathematical expressions or formulae within the text,879: conditional phrases and references to evidence or support
164,0.2109,2131:  mathematical expressions or formulae within the text,912:  references to structural models and their connections in a technical context
165,-0.2098,5516: elements related to statistics or measurements,3602: references to binding actions or concepts in programming contexts
166,-0.2095,3112:  keywords and parameters related to querying in databases or programming contexts,14651: elements related to chemical compounds and their structural components
167,-0.2084,6087: terms related to educational goals and strategies in various contexts,879: conditional phrases and references to evidence or support
168,-0.208,9752: the presence of numerical values and their associated contexts or relationships,8048:  occurrences of selectors and method calls within Objective-C or Swift code
169,0.2076,5516: elements related to statistics or measurements,14651: elements related to chemical compounds and their structural components
170,0.2075,212: elements related to research proposals and scientific inquiry,11482: numerical representations or indicators related to data or formatting elements
171,0.2075,13304:  assignment statements involving function calls or expressions,13158: mathematical equations and physical variables related to scientific concepts
172,0.2073,8127: specific terms and concepts related to complex systems and interactions,12699:  phrases indicating sets or collections of items
173,0.207,5378:  connectors and conjunctions in sentences,14388:  references to specific individuals and their relationships
174,-0.2068,1262: elements related to error handling and logging in code,490: phrases related to self-awareness and personal identity
175,0.2067,1694: indicators of location and presence in various contexts,1467:  words and phrases related to social equity and representation issues
176,0.2067,7655:  URLs or links in textual content,11482: numerical representations or indicators related to data or formatting elements
177,0.2062,8658: structured data and technical specifics related to categories and attributes,14388:  references to specific individuals and their relationships
178,-0.206,1711: instances of various elements or entities in a list or catalog format,5670: phrases related to implications and consequences in scientific contexts
179,0.2056,1711: instances of various elements or entities in a list or catalog format,8048:  occurrences of selectors and method calls within Objective-C or Swift code
180,-0.2053,3990: terms related to providing assistance or services,13698:  mathematical or logical expressions and structures in the text
181,0.2051,4793: technical identifiers or variables within code snippets,5670: phrases related to implications and consequences in scientific contexts
182,-0.2047,16200:  instances of phrases introducing or referencing specific scenarios,8160: terms related to scientific research and medical conditions
183,0.2046,14878: references to 'the' in various contexts,5764: different types of hats and roofs
184,0.2045,6087: terms related to educational goals and strategies in various contexts,912:  references to structural models and their connections in a technical context
185,-0.2043,6586: references to game entities and their management systems,1600: past participles and auxiliary verbs expressing completed actions
186,0.2043,3681: declarations of variables in code,5670: phrases related to implications and consequences in scientific contexts
187,0.2036,1262: elements related to error handling and logging in code,9249:  mathematical expressions or notations
188,-0.2036,12614: references to mail and mailing practices,5764: different types of hats and roofs
189,-0.2036,8263: technical terms and concepts related to Windows systems and management,5764: different types of hats and roofs
190,-0.2028,8658: structured data and technical specifics related to categories and attributes,5256:  HTML element identifiers and their attributes
191,0.2028,3576: legal terminology and concepts related to court proceedings,6374:  phrases related to marriage and family relationships
192,-0.2028,5378:  connectors and conjunctions in sentences,5256:  HTML element identifiers and their attributes
193,-0.2024,3681: declarations of variables in code,8048:  occurrences of selectors and method calls within Objective-C or Swift code
194,0.2023,3990: terms related to providing assistance or services,1467:  words and phrases related to social equity and representation issues
195,0.2023,6586: references to game entities and their management systems,15958: sports matchups and results
196,-0.2021,212: elements related to research proposals and scientific inquiry,5764: different types of hats and roofs
197,-0.2015,4793: technical identifiers or variables within code snippets,8048:  occurrences of selectors and method calls within Objective-C or Swift code
198,0.2014,13221: phrases related to measurements or quantities,879: conditional phrases and references to evidence or support
199,-0.2006,7655:  URLs or links in textual content,5764: different types of hats and roofs
200,0.2001,11412: statistical references and data,13698:  mathematical or logical expressions and structures in the text
201,0.2,5674: parameters and variable options in code context,483: elements related to error handling and message formatting in code
202,0.1993,16200:  instances of phrases introducing or referencing specific scenarios,4743: formal titles and legal terminology related to court cases
203,-0.1985,8211: terms related to economic factors and confidence levels in financial contexts,8930:  expressions of contrast or concession
204,-0.1979,"12748: syntactic structures related to programming logic, specifically conditions and control flow statements",5670: phrases related to implications and consequences in scientific contexts
205,-0.1976,1205:  references to policy and decision-making,"10000: situations related to legal terminology, particularly regarding court rulings and proceedings"
206,-0.1974,"13049: instances of the word ""occur"" and its variations",1391:  prepositions and their relationships in sentences
207,-0.1973,4523: mathematical symbols and expressions,5670: phrases related to implications and consequences in scientific contexts
208,-0.197,15580: dates and their corresponding events,"3151: terms related to the condition and maintenance of items, particularly with a focus on visual damage or wear"
209,-0.197,13221: phrases related to measurements or quantities,912:  references to structural models and their connections in a technical context
210,0.197,3156: references to alternative options or entities,8160: terms related to scientific research and medical conditions
211,0.1969,"13049: instances of the word ""occur"" and its variations",13158: mathematical equations and physical variables related to scientific concepts
212,-0.1968,8658: structured data and technical specifics related to categories and attributes,12557: elements related to character relationships and dynamics within a narrative
213,0.1967,14942:  sequences of numerical values and their representations,11482: numerical representations or indicators related to data or formatting elements
214,-0.1965,3576: legal terminology and concepts related to court proceedings,10853:  references to time-related events or durations
215,0.1962,12508:  acknowledgments and contributions from authors in a scientific paper,3602: references to binding actions or concepts in programming contexts
216,0.196,"14112: references to downloads, PC games, demographics, and census data",8048:  occurrences of selectors and method calls within Objective-C or Swift code
217,0.1957,"9518: references to parental relationships, particularly focusing on paternity and legitimacy issues related to children born out of wedlock",12699:  phrases indicating sets or collections of items
218,-0.1956,11412: statistical references and data,1467:  words and phrases related to social equity and representation issues
219,0.1956,3036: queries related to SQL and data manipulation,14651: elements related to chemical compounds and their structural components
220,0.1952,3602: phrases related to uncertainty and conditions,9306:  phrases and terms related to legal and procedural contexts
221,0.1951,4523: mathematical symbols and expressions,8048:  occurrences of selectors and method calls within Objective-C or Swift code
222,-0.1948,"14112: references to downloads, PC games, demographics, and census data",5670: phrases related to implications and consequences in scientific contexts
223,0.1948,16281: keywords and structure related to programming logic and operations,15209: technical terms and attributes related to system configuration and networking
224,-0.1947,15677:  occurrences of input/output terminology in technical contexts,5670: phrases related to implications and consequences in scientific contexts
225,0.1943,14942:  sequences of numerical values and their representations,9306:  phrases and terms related to legal and procedural contexts
226,0.1942,4523: mathematical symbols and expressions,12557: elements related to character relationships and dynamics within a narrative
227,0.194,8658: structured data and technical specifics related to categories and attributes,5042:  function calls and operations related to managing collections or data structures
228,0.1938,12475: specific plants and gardening-related content,9249:  mathematical expressions or notations
229,-0.1937,14942:  sequences of numerical values and their representations,14188: references to names and personal identifiers
230,-0.1937,"501: names of individuals, particularly focusing on ""David Reese"" and other recurring names in various contexts",9306:  phrases and terms related to legal and procedural contexts
231,0.1935,11087: specific structural elements or commands in programming and mathematical contexts,15537:  markers that indicate the beginning or end of a document
232,0.1935,16151: the presence of tilde symbols and numeric formats,8160: terms related to scientific research and medical conditions
233,-0.1934,3036: queries related to SQL and data manipulation,3602: references to binding actions or concepts in programming contexts
234,-0.1932,12508:  acknowledgments and contributions from authors in a scientific paper,14651: elements related to chemical compounds and their structural components
235,0.1929,9067:  references to specific statistics or numerical data,5670: phrases related to implications and consequences in scientific contexts
236,-0.1926,15581: concepts related to spiritual practices and diagnoses,13158: mathematical equations and physical variables related to scientific concepts
237,-0.1926,8611:  programming constructs related to data types and structures,6374:  phrases related to marriage and family relationships
238,0.1924,7661:  verbs related to performing actions,13698:  mathematical or logical expressions and structures in the text
239,0.1924,11987: references to various forms of monitoring and assessment processes in clinical or experimental settings,3781:  keywords related to medical assessments or conditions
240,0.1924,15581: concepts related to spiritual practices and diagnoses,1391:  prepositions and their relationships in sentences
241,-0.1924,10957:  indications of gratitude and acknowledgment within the text,490: phrases related to self-awareness and personal identity
242,-0.1923,15837: terms related to additional processes or components in a procedure,11482: numerical representations or indicators related to data or formatting elements
243,0.1921,10957:  indications of gratitude and acknowledgment within the text,9249:  mathematical expressions or notations
244,0.1921,15677:  occurrences of input/output terminology in technical contexts,8048:  occurrences of selectors and method calls within Objective-C or Swift code
245,-0.1921,12475: specific plants and gardening-related content,490: phrases related to self-awareness and personal identity
246,0.1919,12745:  references to research studies and their corresponding identifiers or metadata,9306:  phrases and terms related to legal and procedural contexts
247,-0.1914,3156: references to alternative options or entities,4743: formal titles and legal terminology related to court cases
248,-0.1914,94: descriptions of social personality types and behaviors,4743: formal titles and legal terminology related to court cases
249,0.1913,5888: elements related to database models and data structures,14188: references to names and personal identifiers
250,-0.1912,4523: mathematical symbols and expressions,5042:  function calls and operations related to managing collections or data structures
251,-0.1912,401: specific code structures or syntax patterns in programming or technical texts,14651: elements related to chemical compounds and their structural components
252,0.1912,7245: names and terms associated with specific individuals or entities,9306:  phrases and terms related to legal and procedural contexts
253,0.191,15580: dates and their corresponding events,1330:  mathematical expressions and functions involving probability and logarithms
254,-0.1908,12745:  references to research studies and their corresponding identifiers or metadata,14188: references to names and personal identifiers
255,0.1908,6605:  frequencies of occurrences or items in lists and counts,3375: the presence of numerical data or statistically significant figures
256,-0.1906,7583: references to legal proceedings and the roles of defense counsel,11482: numerical representations or indicators related to data or formatting elements
257,-0.1903,7245: names and terms associated with specific individuals or entities,14188: references to names and personal identifiers
258,-0.19,15883:  punctuations and their associated contextual placements in text,14188: references to names and personal identifiers
259,-0.1897,14199: references to collaboration and assistance in various contexts,13158: mathematical equations and physical variables related to scientific concepts
260,0.1897,15752: imperative verbs suggesting actions or attempts to encourage engagement or experimentation,13698:  mathematical or logical expressions and structures in the text
261,0.1896,"12748: syntactic structures related to programming logic, specifically conditions and control flow statements",8048:  occurrences of selectors and method calls within Objective-C or Swift code
262,0.1896,15883:  punctuations and their associated contextual placements in text,9306:  phrases and terms related to legal and procedural contexts
263,0.1896,401: specific code structures or syntax patterns in programming or technical texts,3602: references to binding actions or concepts in programming contexts
264,0.1896,"13462:  occurrences of the word ""little.""",12557: elements related to character relationships and dynamics within a narrative
265,-0.1892,11087: specific structural elements or commands in programming and mathematical contexts,9121: document structures or formatting elements
266,0.1891,"5013:  variations of the word ""full"" and related phrases indicating completeness or entirety",7630:  references to specific websites and online resources
267,-0.1891,7661:  verbs related to performing actions,1467:  words and phrases related to social equity and representation issues
268,0.1888,"501: names of individuals, particularly focusing on ""David Reese"" and other recurring names in various contexts",14188: references to names and personal identifiers
269,-0.1888,16151: the presence of tilde symbols and numeric formats,4743: formal titles and legal terminology related to court cases
270,0.1887,1371: distinct pieces of punctuation and sentence endings,"14706:  the word ""In"" and its variations, indicating a focus on references to time or context"
271,0.1886,94: descriptions of social personality types and behaviors,8160: terms related to scientific research and medical conditions
272,-0.1884,11990: keywords related to swine diseases and medical terminology,11482: numerical representations or indicators related to data or formatting elements
273,-0.1881,4852: adverbs that modify the degree or frequency of an action,1391:  prepositions and their relationships in sentences
274,-0.188,14942:  sequences of numerical values and their representations,5764: different types of hats and roofs
275,-0.188,"13462:  occurrences of the word ""little.""",5042:  function calls and operations related to managing collections or data structures
276,-0.1879,5888: elements related to database models and data structures,9306:  phrases and terms related to legal and procedural contexts
277,0.1879,8611:  programming constructs related to data types and structures,10853:  references to time-related events or durations
278,0.1877,14199: references to collaboration and assistance in various contexts,1391:  prepositions and their relationships in sentences
279,-0.1876,13744: terms related to health conditions and their classifications,13698:  mathematical or logical expressions and structures in the text
280,-0.1876,4353: the beginning of a document or section,8160: terms related to scientific research and medical conditions
281,-0.1873,3602: phrases related to uncertainty and conditions,14188: references to names and personal identifiers
282,0.1868,6087: terms related to educational goals and strategies in various contexts,13698:  mathematical or logical expressions and structures in the text
283,0.1866,9020: abbreviations or identifiers related to programming and software libraries,10324: phrases related to capability and ability
284,0.1866,"13462:  occurrences of the word ""little.""",4849: words related to achievements and awards
285,-0.1866,4390:  numeric values and symbols typically used in codes or mathematical expressions,5670: phrases related to implications and consequences in scientific contexts
286,0.1865,12563: phrases that convey uncertainty or conditionality within the context of situations or events,9249:  mathematical expressions or notations
287,0.1864,8211: terms related to economic factors and confidence levels in financial contexts,1494: time frames and sequences of actions
288,-0.1863,609: syntax elements related to function or method invocations in code,8160: terms related to scientific research and medical conditions
289,0.1859,14722: variations and modifications of terms and concepts,13158: mathematical equations and physical variables related to scientific concepts
290,-0.1858,12563: phrases that convey uncertainty or conditionality within the context of situations or events,490: phrases related to self-awareness and personal identity
291,0.1857,1888: special characters and symbols in the text,3672: references to variables and factors influencing specific medical conditions or research findings
292,-0.1852,14722: variations and modifications of terms and concepts,1391:  prepositions and their relationships in sentences
293,0.1852,12006: events and dates related to significant political moments or announcements,1391:  prepositions and their relationships in sentences
294,0.1847,7495: words related to legal proceedings and actions,9306:  phrases and terms related to legal and procedural contexts
295,-0.1847,7342: terms associated with healthcare and intervention strategies,1600: past participles and auxiliary verbs expressing completed actions
296,0.1846,4353: the beginning of a document or section,4743: formal titles and legal terminology related to court cases
