,OV Circuit Value,Value Feature,Output Feature
46,-0.5806,12899: specific locations and cultural attributes related to tourism,8364: references to data structures and properties in programming contexts
47,-0.5737,918: reported speech and quotations,"11712:  the start of a document or a new section, as indicated by special tokens"
48,0.5713,8111: HTML header tags,761: references to state-related programming constructs and HTML document manipulation commands
49,-0.571,11584: terms and concepts related to rural housing and support programs,5790: references to personal experiences with movies and shows
50,0.5703,5261:  numerical values and measurements,"11712:  the start of a document or a new section, as indicated by special tokens"
51,0.563,7961: phrases and terms related to problem-solving and mathematical expressions,8890:  headers and content type specifications in HTTP requests or responses
52,-0.561,"4309: references to social media, particularly Facebook and Patreon links","11712:  the start of a document or a new section, as indicated by special tokens"
53,0.555,2119: elements related to systematic processes or methodologies in various contexts,6800: specific dates and times
54,0.55,"2445:  elements of mathematical structures or notation, especially related to linear algebra and matrix representations",3278:  occurrences of Java syntax and SQL commands
55,0.549,13972: connections or relationships indicated by conjunctions in the text,5790: references to personal experiences with movies and shows
56,0.537,2573: references to mocking frameworks and methodologies in testing contexts,1294: legal terms and references related to court cases and administrative processes
57,0.5303,5054: symbolic representations indicating emphasis or references in the text,"14775: data types and structures used in programming, particularly those related to unsigned integers and memory management"
58,-0.5254,14002: code related to HTML elements and AJAX data attributes,"14775: data types and structures used in programming, particularly those related to unsigned integers and memory management"
59,0.511,816: conjunctions and phrases indicating opposition or contrast,12098:  system calls and related attributes in structured data or code
60,-0.5103,13972: connections or relationships indicated by conjunctions in the text,"12168: meta-analytical reflections on progress, purpose, and societal issues"
61,-0.5034,12094: scientific and technical terms related to experimental results and methodologies,8890:  headers and content type specifications in HTTP requests or responses
62,0.503,16012: phrases indicating additional details or supplementary information,4902:  mathematical expressions and concepts related to derivatives
63,0.503,14366:  mathematical symbols and expressions,6800: specific dates and times
64,-0.501,5261:  numerical values and measurements,12625: keywords related to exceptions and error handling in programming
65,-0.499,12746: details related to dates and statistics,9832: keywords related to customer inquiries and product availability
66,0.4988,10978:  technical specifications related to data structure and programming concepts,8604: locations and institutions related to education and research
67,0.4885,"9497: mentions of institutions, titles, and individuals associated with academic or research contexts","14775: data types and structures used in programming, particularly those related to unsigned integers and memory management"
68,0.4827,12746: details related to dates and statistics,12340: instances of copyright-related terms and reserved rights
69,0.4792,14269:  references to government budgets and financial decisions,9281:  code-related elements and functions within programming contexts
70,-0.4758,2085: code snippets related to data insertion operations,5737:  references to promotional opportunities and offers
71,0.472,8069: specific terms related to legal and organizational frameworks,5737:  references to promotional opportunities and offers
72,-0.466,7174: special character sequences and codes,14657: terms related to list operations and data retrieval in programming contexts
73,-0.4658,8940:  phrases that indicate statements of value or personal opinion,6800: specific dates and times
74,0.4658,8796: variables and control flow statements in programming code,5453: data related to surveys and statistical reporting on specific demographics
75,-0.4622,"8492:  code-related syntax and structure elements, particularly in configuration or build files",9832: keywords related to customer inquiries and product availability
76,-0.4578,14366:  mathematical symbols and expressions,9281:  code-related elements and functions within programming contexts
77,-0.4553,15825: terms related to destruction or damaging actions,5790: references to personal experiences with movies and shows
78,0.4546,4031:  numerical values and dates in the text,15209: technical terms and attributes related to system configuration and networking
79,0.4504,10729: conjunctions and transitional phrases that indicate contrasts or relationships between ideas,9832: keywords related to customer inquiries and product availability
80,0.45,11828: keywords and variables related to programming and code structures,1348:  social media interaction indicators
81,0.4468,8940:  phrases that indicate statements of value or personal opinion,9281:  code-related elements and functions within programming contexts
82,-0.443,"405: references to specific companies, products, and notable figures in the audio and entertainment industry",5790: references to personal experiences with movies and shows
83,0.4363,14504:  references to restaurants and dining establishments,5790: references to personal experiences with movies and shows
84,0.4343,13106: references to criminal activity and legal proceedings,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
85,0.434,13543: important keywords and concepts related to law and evaluations in formal contexts,14718: connections between ideas or concepts in the text
86,-0.4333,498:  phrases related to legal rules and regulations,12098:  system calls and related attributes in structured data or code
87,-0.4321,7762: terms related to reproductive health and community engagement strategies,8604: locations and institutions related to education and research
88,-0.4316,8796: variables and control flow statements in programming code,419: syntax related to mathematical calculations or programming language elements
89,0.431,6887: discussions around accountability and consequences related to authority and governance,2763: technical terms related to finance and secure payment processes
90,-0.4304,13106: references to criminal activity and legal proceedings,14247:  programming-related syntax and function calls
91,0.4285,242:  conjunctions and related terms that indicate addition or connection,12340: instances of copyright-related terms and reserved rights
92,-0.4272,"2445:  elements of mathematical structures or notation, especially related to linear algebra and matrix representations",6800: specific dates and times
93,-0.4265,2249:  nouns related to mechanical components and their characteristics,4902:  mathematical expressions and concepts related to derivatives
94,-0.4243,2160:  references to legal terms and procedural language,2192: references to Israel and its related entities or concepts
95,-0.4229,1763: technical scientific terminology and units of measurement,10784: specific technical terminology related to monitoring systems and their components
96,-0.4219,242:  conjunctions and related terms that indicate addition or connection,9832: keywords related to customer inquiries and product availability
97,-0.4211,10729: conjunctions and transitional phrases that indicate contrasts or relationships between ideas,12340: instances of copyright-related terms and reserved rights
98,-0.42,"9325: references to conditional statements or choices involving ""or.""",14247:  programming-related syntax and function calls
99,-0.4192,14269:  references to government budgets and financial decisions,6800: specific dates and times
100,0.4187,14814: terms related to governmental and legal exemptions and regulatory processes,1511: beginning or opening phrases or tags in text
101,0.4187,5261:  numerical values and measurements,13721: questions and answers in a quiz or assessment format
102,-0.418,"7753: nothing relevant in the text, as all activation values are zero",1511: beginning or opening phrases or tags in text
103,0.415,8183: words related to causes and effects,14657: terms related to list operations and data retrieval in programming contexts
104,0.4148,"1970: instances of the word ""different"" and its variations, focusing on changes and distinctions",14718: connections between ideas or concepts in the text
105,0.4146,2404: language related to legal or financial obligations,10530: elements related to numerical or code representations
106,-0.4111,3831:  key terms related to research findings and methodologies,12098:  system calls and related attributes in structured data or code
107,0.408,"2445:  elements of mathematical structures or notation, especially related to linear algebra and matrix representations",9281:  code-related elements and functions within programming contexts
108,-0.406,2085: code snippets related to data insertion operations,12340: instances of copyright-related terms and reserved rights
109,0.403,15825: terms related to destruction or damaging actions,"12168: meta-analytical reflections on progress, purpose, and societal issues"
110,0.402,"8492:  code-related syntax and structure elements, particularly in configuration or build files",12340: instances of copyright-related terms and reserved rights
111,0.3987,"7753: nothing relevant in the text, as all activation values are zero",5812:  numerical data and financial figures
112,-0.3987,14814: terms related to governmental and legal exemptions and regulatory processes,5812:  numerical data and financial figures
113,0.3982,13972: connections or relationships indicated by conjunctions in the text,14657: terms related to list operations and data retrieval in programming contexts
114,0.3975,2085: code snippets related to data insertion operations,9832: keywords related to customer inquiries and product availability
115,-0.3948,12890: phrases indicating quantities or relationships in data,5790: references to personal experiences with movies and shows
116,0.3916,"50:  structural elements and organization in text, often relating to code or data formatting","1611: features and specifications of technological devices, particularly related to screens and cameras"
117,0.3884,"9325: references to conditional statements or choices involving ""or.""","10041: terms and phrases related to computing, particularly regarding resource management and limitations"
118,-0.3882,11848:  patterns associated with programming structures and components,5453: data related to surveys and statistical reporting on specific demographics
119,0.3867,14576: phrases related to legal conditions and approvals for software distribution,8808: phrases related to creative or fantastical elements in storytelling
120,-0.3848,8069: specific terms related to legal and organizational frameworks,"4341: technical terms, variables, and references in programming and documentation contexts"
121,0.3823,2085: code snippets related to data insertion operations,"4341: technical terms, variables, and references in programming and documentation contexts"
122,-0.3816,"8492:  code-related syntax and structure elements, particularly in configuration or build files",10349: words that end with specific suffixes or are in gerund forms
123,-0.3816,12028: terms related to energy efficiency and the operation of air conditioning systems,15209: technical terms and attributes related to system configuration and networking
124,0.381,12890: phrases indicating quantities or relationships in data,"12168: meta-analytical reflections on progress, purpose, and societal issues"
125,-0.3794,15956: names of individuals and locations related to political or legal contexts,3871:  keywords related to method declarations and return types in code
126,0.3792,11848:  patterns associated with programming structures and components,419: syntax related to mathematical calculations or programming language elements
127,0.37,796: phrases related to medical procedures and their effectiveness,"11712:  the start of a document or a new section, as indicated by special tokens"
128,-0.3677,14504:  references to restaurants and dining establishments,"12168: meta-analytical reflections on progress, purpose, and societal issues"
129,0.3667,14002: code related to HTML elements and AJAX data attributes,3195: medical terminology related to neurobiological concepts and conditions
130,-0.3667,10012: numerical values or statistics related to data analysis,15209: technical terms and attributes related to system configuration and networking
131,-0.3667,2835: references to legislative bills and related documents,10151: quantitative assessments and comparisons in research or analytical texts
132,-0.3628,15388: various punctuation marks and structural elements in code,"1611: features and specifications of technological devices, particularly related to screens and cameras"
133,0.3628,"405: references to specific companies, products, and notable figures in the audio and entertainment industry","12168: meta-analytical reflections on progress, purpose, and societal issues"
134,-0.3623,498:  phrases related to legal rules and regulations,5790: references to personal experiences with movies and shows
135,0.3618,11828: keywords and variables related to programming and code structures,10954: concepts related to family dynamics and social structures
136,-0.3604,918: reported speech and quotations,13721: questions and answers in a quiz or assessment format
137,-0.3594,"2445:  elements of mathematical structures or notation, especially related to linear algebra and matrix representations",9832: keywords related to customer inquiries and product availability
138,0.358,6449: structured formatting or coding elements,5513: references to reviews and feedback processes
139,0.3564,8742: terms related to specific biochemical or genetic concepts,14718: connections between ideas or concepts in the text
140,-0.356,3040: important advisories or recommendations,16321: 
141,0.355,"10953: elements related to evidence, claims, and the process of validation or verification",14718: connections between ideas or concepts in the text
142,0.3523,2835: references to legislative bills and related documents,6896:  references to traditional Chinese medicine and its related studies
143,-0.3513,6449: structured formatting or coding elements,13451: terms related to destruction and annihilation
144,0.349,1408: terms related to emergency medicine and healthcare organization,5453: data related to surveys and statistical reporting on specific demographics
145,-0.3477,8474: language indicative of methodologies and assessments in a scientific or technical context,8364: references to data structures and properties in programming contexts
146,0.3474,2331: specific numerical values and their references within various contexts,9281:  code-related elements and functions within programming contexts
147,0.3467,11154:  instances of reported speech or references to statements made by individuals or entities,4902:  mathematical expressions and concepts related to derivatives
148,0.3455,7174: special character sequences and codes,404: medical terminology related to patient conditions and healthcare outcomes
149,0.3455,"9504:  instances of the word ""then"" indicating a sequence of events or conclusions",13875: references to expert opinions or knowledge related to inquiry and problem-solving
150,0.344,15537:  numeric values associated with coding and programming parameters,10151: quantitative assessments and comparisons in research or analytical texts
151,0.3433,2160:  references to legal terms and procedural language,"8198: specific numeric sequences or indices, likely indicating dates or organized listings"
152,-0.3425,6948:  file paths or import statements within code,404: medical terminology related to patient conditions and healthcare outcomes
153,0.3425,1763: technical scientific terminology and units of measurement,15659: the closing braces '}' in code structures
154,0.3418,908: dialogue and responses to questions,"10212: elements and structures related to data definitions and programming concepts, particularly in the context of object encoding and messages"
155,0.3416,"3731: sections of text containing structured, informational content related to various topics or categories",6844: scientific references and technical terms related to chemical or molecular phenomena
156,0.3403,6185:  programming syntax and structure used in coding languages,"11025:  code-related terms, particularly those associated with class and method definitions in programming languages"
157,0.339,8069: specific terms related to legal and organizational frameworks,12340: instances of copyright-related terms and reserved rights
158,-0.337,11584: terms and concepts related to rural housing and support programs,7542:  phrases that describe technical processes and methods in research contexts
159,0.3367,5514: JavaScript and related programming constructs within the code,8364: references to data structures and properties in programming contexts
160,0.3357,5287: expressions of emotional responses and sentiments,2763: technical terms related to finance and secure payment processes
161,0.3352,11468: full stops or periods,6896:  references to traditional Chinese medicine and its related studies
162,0.334,15585: information regarding the Police Clearance Certificate (PCC) application process,1500: terms related to quality in various contexts
163,0.3325,7342: terms associated with healthcare and intervention strategies,16321: 
164,-0.331,6185:  programming syntax and structure used in coding languages,15659: the closing braces '}' in code structures
165,-0.3296,147:  references to academic topics or academic-related terms,9832: keywords related to customer inquiries and product availability
166,0.3274,2331: specific numerical values and their references within various contexts,1817: numeric values and their associated parameters in structured data formats
167,0.3267,11784:  technical terms and names in an academic or programming context,8808: phrases related to creative or fantastical elements in storytelling
168,0.3262,498:  phrases related to legal rules and regulations,"12168: meta-analytical reflections on progress, purpose, and societal issues"
169,-0.3252,2331: specific numerical values and their references within various contexts,6800: specific dates and times
170,-0.3252,796: phrases related to medical procedures and their effectiveness,12098:  system calls and related attributes in structured data or code
171,-0.3245,13762: technical programming and markup language syntax,7542:  phrases that describe technical processes and methods in research contexts
172,0.3242,"8492:  code-related syntax and structure elements, particularly in configuration or build files",2556: specific programming structures and data types in code
173,-0.324,8069: specific terms related to legal and organizational frameworks,9832: keywords related to customer inquiries and product availability
174,0.322,"2445:  elements of mathematical structures or notation, especially related to linear algebra and matrix representations",12340: instances of copyright-related terms and reserved rights
175,0.3203,147:  references to academic topics or academic-related terms,761: references to state-related programming constructs and HTML document manipulation commands
176,0.3203,11828: keywords and variables related to programming and code structures,14718: connections between ideas or concepts in the text
177,0.32,16205:  structured data expressions and command syntax in programming contexts,15209: technical terms and attributes related to system configuration and networking
178,0.319,14576: phrases related to legal conditions and approvals for software distribution,6844: scientific references and technical terms related to chemical or molecular phenomena
179,0.318,11154:  instances of reported speech or references to statements made by individuals or entities,12625: keywords related to exceptions and error handling in programming
180,0.318,6784:  references to significant entities or legal concepts in a context of dispute or evaluation,761: references to state-related programming constructs and HTML document manipulation commands
181,0.3179,9013:  phrases that express comparisons or similarities,2192: references to Israel and its related entities or concepts
182,0.315,8955: references to websites and requests for further information,256: specific programming syntax and elements related to data structures or types
183,0.3135,2618: professions and roles related to various careers or occupations,"8198: specific numeric sequences or indices, likely indicating dates or organized listings"
184,0.3127,11011:  numerical references or data points,12098:  system calls and related attributes in structured data or code
185,0.3113,"7611:  instances of ""meet"" and related forms, indicating a focus on social interactions and gatherings",10151: quantitative assessments and comparisons in research or analytical texts
186,0.3108,10234: references to items or objects in a structured format,12098:  system calls and related attributes in structured data or code
187,0.3096,10012: numerical values or statistics related to data analysis,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
188,-0.3096,14366:  mathematical symbols and expressions,3278:  occurrences of Java syntax and SQL commands
189,0.308,2415: terms related to relative comparisons or differences,4902:  mathematical expressions and concepts related to derivatives
190,-0.3071,11468: full stops or periods,15385:  mentions of fairness and credit reporting related concepts
191,0.3064,147:  references to academic topics or academic-related terms,12340: instances of copyright-related terms and reserved rights
192,0.3057,3831:  key terms related to research findings and methodologies,"11712:  the start of a document or a new section, as indicated by special tokens"
193,0.3054,6185:  programming syntax and structure used in coding languages,12414: phrases indicating transition or change
194,0.305,6995: mathematical expressions and symbols,15209: technical terms and attributes related to system configuration and networking
195,-0.3047,16012: phrases indicating additional details or supplementary information,451: topics related to health and illness
196,0.3027,"4354: HTML tags, specifically bold and italic formatting","4086: references to specific entities or categories, particularly in relation to agreements or contracts"
197,0.3022,12646: elements related to legal terminology and formal processes,15385:  mentions of fairness and credit reporting related concepts
198,0.3008,6842: specific sequences or patterns in numerical data and identifiers,9832: keywords related to customer inquiries and product availability
199,0.3008,"760:  code-related keywords and structures, particularly focusing on functions and variable definitions in programming languages",12098:  system calls and related attributes in structured data or code
200,-0.3008,1235: technical terms and scientific concepts related to biotechnology and coding,5790: references to personal experiences with movies and shows
201,0.2993,10477: elements related to button interactions in web forms,9832: keywords related to customer inquiries and product availability
202,0.2993,"3731: sections of text containing structured, informational content related to various topics or categories",8808: phrases related to creative or fantastical elements in storytelling
203,0.2988,7241: phrases indicating capability and potential actions,"10426:  HTML table structures or elements, specifically those with tbody and thead tags"
204,-0.2988,4031:  numerical values and dates in the text,14247:  programming-related syntax and function calls
205,0.298,"4354: HTML tags, specifically bold and italic formatting","10041: terms and phrases related to computing, particularly regarding resource management and limitations"
206,-0.298,6842: specific sequences or patterns in numerical data and identifiers,12340: instances of copyright-related terms and reserved rights
207,-0.298,"7611:  instances of ""meet"" and related forms, indicating a focus on social interactions and gatherings",6896:  references to traditional Chinese medicine and its related studies
208,-0.298,"4354: HTML tags, specifically bold and italic formatting",256: specific programming syntax and elements related to data structures or types
209,-0.2976,"4354: HTML tags, specifically bold and italic formatting",14247:  programming-related syntax and function calls
210,-0.2952,11584: terms and concepts related to rural housing and support programs,3871:  keywords related to method declarations and return types in code
211,0.2942,13702: elements related to programming constructs and data structures,2620:  instances of structured data or code-related elements
212,0.2937,7291: code snippets and instructions related to data handling and query execution,10784: specific technical terminology related to monitoring systems and their components
213,-0.293,10012: numerical values or statistics related to data analysis,14247:  programming-related syntax and function calls
214,0.2922,432: references to clinical research and studies involving specific compounds or medical evaluations,3195: medical terminology related to neurobiological concepts and conditions
215,-0.2896,13509: scientific terminology related to medical and biochemical concepts,14247:  programming-related syntax and function calls
216,-0.2896,242:  conjunctions and related terms that indicate addition or connection,16336: 
217,0.2893,13702: elements related to programming constructs and data structures,5618: quantitative measurements and statistics related to health and performance
218,0.2888,11154:  instances of reported speech or references to statements made by individuals or entities,404: medical terminology related to patient conditions and healthcare outcomes
219,0.2878,"13396:  structured data formats, specifically key-value pairs and data type definitions in programming contexts","4086: references to specific entities or categories, particularly in relation to agreements or contracts"
220,0.287,"9325: references to conditional statements or choices involving ""or.""",8675: references to measurements and performance indicators in a scientific or technical context
221,0.285,"10168:  the presence of the name ""Don""",6896:  references to traditional Chinese medicine and its related studies
222,0.2847,11870: terms related to the COVID-19 pandemic and its impact on poverty,404: medical terminology related to patient conditions and healthcare outcomes
223,-0.2844,6467: terms related to medical descriptions and conditions,1294: legal terms and references related to court cases and administrative processes
224,-0.2822,3040: important advisories or recommendations,8613: questions or inquiries about functionality or issues related to software or systems
225,-0.2817,62: responses related to customer feedback or inquiries,15659: the closing braces '}' in code structures
226,-0.279,728: sections of text punctuated by slashes or dividers,5513: references to reviews and feedback processes
227,0.2788,14729: expressions of positive emotions and announcements related to achievements or collaboration,570: code structures and function calls related to object manipulation and control flow
228,0.2778,7174: special character sequences and codes,3278:  occurrences of Java syntax and SQL commands
229,-0.2769,6467: terms related to medical descriptions and conditions,10151: quantitative assessments and comparisons in research or analytical texts
230,0.2756,6034: text that contains structured summaries or descriptions related to scientific or technical information,15659: the closing braces '}' in code structures
231,0.2754,16205:  structured data expressions and command syntax in programming contexts,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
232,0.275,3021: references to legal rights and procedures,"10426:  HTML table structures or elements, specifically those with tbody and thead tags"
233,0.2747,5037: dialogues or quotations in conversations,"10426:  HTML table structures or elements, specifically those with tbody and thead tags"
234,0.2744,728: sections of text punctuated by slashes or dividers,13451: terms related to destruction and annihilation
235,-0.2742,16205:  structured data expressions and command syntax in programming contexts,14247:  programming-related syntax and function calls
236,0.2734,1235: technical terms and scientific concepts related to biotechnology and coding,"12168: meta-analytical reflections on progress, purpose, and societal issues"
237,0.2722,12646: elements related to legal terminology and formal processes,2192: references to Israel and its related entities or concepts
238,-0.2722,816: conjunctions and phrases indicating opposition or contrast,"11712:  the start of a document or a new section, as indicated by special tokens"
239,0.272,13509: scientific terminology related to medical and biochemical concepts,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
240,0.2717,4031:  numerical values and dates in the text,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
241,-0.2717,14005: references to scientific research and studies,6896:  references to traditional Chinese medicine and its related studies
242,0.271,"10168:  the presence of the name ""Don""",2192: references to Israel and its related entities or concepts
243,-0.27,2214:  opening curly braces,12414: phrases indicating transition or change
244,0.27,9361:  references to joint tort liability and negligence in a legal context,2620:  instances of structured data or code-related elements
245,-0.2686,8955: references to websites and requests for further information,3099: sequences of punctuation marks and special characters in the text
246,0.268,"8492:  code-related syntax and structure elements, particularly in configuration or build files","1537:  instances of connecting words, particularly conjunctions"
247,-0.2678,660:  linguistic elements related to definite articles in various languages,5453: data related to surveys and statistical reporting on specific demographics
248,-0.2673,"9504:  instances of the word ""then"" indicating a sequence of events or conclusions",10544: mentions of economic consequences and regulatory impacts
249,0.266,"8492:  code-related syntax and structure elements, particularly in configuration or build files",10764: specific terms related to statistical comparisons and measurements
250,0.266,2197: references to legal charges and criminal activities involving individuals,3099: sequences of punctuation marks and special characters in the text
251,-0.266,18: terms related to food and culinary subjects,5513: references to reviews and feedback processes
252,0.2656,10234: references to items or objects in a structured format,12625: keywords related to exceptions and error handling in programming
253,0.2654,12967:  locations and institutions associated with news events,4902:  mathematical expressions and concepts related to derivatives
254,0.265,7291: code snippets and instructions related to data handling and query execution,8333:  legal terminology and references to documents or agreements
255,-0.2644,16108: terms related to various sports and their associated players,9832: keywords related to customer inquiries and product availability
256,0.264,2249:  nouns related to mechanical components and their characteristics,1500: terms related to quality in various contexts
257,0.2637,2355: statements related to women's rights and societal expectations regarding gender roles,10349: words that end with specific suffixes or are in gerund forms
258,0.2627,13634:  mathematical expressions and technical details,256: specific programming syntax and elements related to data structures or types
259,-0.2627,6995: mathematical expressions and symbols,14247:  programming-related syntax and function calls
260,0.2622,18: terms related to food and culinary subjects,13451: terms related to destruction and annihilation
261,0.2617,660:  linguistic elements related to definite articles in various languages,14452:  phrases and terms related to help and assistance
262,-0.2612,8955: references to websites and requests for further information,15209: technical terms and attributes related to system configuration and networking
263,0.2612,6586: references to game entities and their management systems,10151: quantitative assessments and comparisons in research or analytical texts
264,-0.2607,6948:  file paths or import statements within code,12625: keywords related to exceptions and error handling in programming
265,0.2605,14294: numerical values and structural elements related to programming or data,"14775: data types and structures used in programming, particularly those related to unsigned integers and memory management"
266,0.2603,12028: terms related to energy efficiency and the operation of air conditioning systems,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
267,-0.2603,"12748: syntactic structures related to programming logic, specifically conditions and control flow statements","10212: elements and structures related to data definitions and programming concepts, particularly in the context of object encoding and messages"
268,0.26,10063: elements related to data structure definitions and manipulations,1527:  prominent numerical data points or measurements
269,0.26,147:  references to academic topics or academic-related terms,12098:  system calls and related attributes in structured data or code
270,0.2595,"4354: HTML tags, specifically bold and italic formatting",15209: technical terms and attributes related to system configuration and networking
271,0.259,5255:  patterns of repetition or conjunctions within the text,9832: keywords related to customer inquiries and product availability
272,-0.2583,5261:  numerical values and measurements,10764: specific terms related to statistical comparisons and measurements
273,0.258,2891: repeated phrases or structures within the text,"15100: occurrences of the term ""any"" and its variations"
274,0.2573,14729: expressions of positive emotions and announcements related to achievements or collaboration,1348:  social media interaction indicators
275,0.257,14366:  mathematical symbols and expressions,"2321: proper nouns, specifically names and surnames"
276,-0.2563,8183: words related to causes and effects,404: medical terminology related to patient conditions and healthcare outcomes
277,-0.2559,12899: specific locations and cultural attributes related to tourism,570: code structures and function calls related to object manipulation and control flow
278,-0.2554,1763: technical scientific terminology and units of measurement,"11025:  code-related terms, particularly those associated with class and method definitions in programming languages"
279,-0.2544,2618: professions and roles related to various careers or occupations,10151: quantitative assessments and comparisons in research or analytical texts
280,0.2534,"13396:  structured data formats, specifically key-value pairs and data type definitions in programming contexts","10041: terms and phrases related to computing, particularly regarding resource management and limitations"
281,0.2534,62: responses related to customer feedback or inquiries,"11025:  code-related terms, particularly those associated with class and method definitions in programming languages"
282,-0.2534,8955: references to websites and requests for further information,"4086: references to specific entities or categories, particularly in relation to agreements or contracts"
283,-0.253,14729: expressions of positive emotions and announcements related to achievements or collaboration,10569: dates and references to versioning information
284,-0.2527,13702: elements related to programming constructs and data structures,5699: mathematical symbols and expressions related to equations and operators
285,-0.252,1763: technical scientific terminology and units of measurement,8333:  legal terminology and references to documents or agreements
286,0.2512,13020: punctuation marks in the context of the document,6844: scientific references and technical terms related to chemical or molecular phenomena
287,-0.251,13552: information related to scientific methodologies or experimental processes,"10041: terms and phrases related to computing, particularly regarding resource management and limitations"
288,0.2507,1222: references to collaboration and cooperation,10964: mathematical terms and symbols
289,-0.2507,14348: escape characters and line breaks in code-related contexts,12340: instances of copyright-related terms and reserved rights
290,0.2499,13702: elements related to programming constructs and data structures,14718: connections between ideas or concepts in the text
