,QKOV,Key,Query,Value
45,-0.2278,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts,mathematical terms and symbols
46,-0.2278,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts",mathematical terms and symbols
47,-0.2278,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives,mathematical terms and symbols
48,-0.2278,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming,mathematical terms and symbols
49,-0.2278,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts,mathematical terms and symbols
50,-0.2278,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops,mathematical terms and symbols
51,-0.2278,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings,mathematical terms and symbols
52,-0.2278,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""",mathematical terms and symbols
53,-0.2278,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code,mathematical terms and symbols
54,-0.2278,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations,mathematical terms and symbols
55,-0.2278,specific structural elements or commands in programming and mathematical contexts,references to diabetes,mathematical terms and symbols
56,-0.2278,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers,mathematical terms and symbols
57,-0.2278,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems,mathematical terms and symbols
58,-0.2278,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation,mathematical terms and symbols
59,-0.2278,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts,mathematical terms and symbols
60,0.2162, numerical sequences and values related to statistics or data representation,specific biochemical terms and nomenclature related to genetics and molecular biology,terms related to classification and assessment of information
61,0.2152, instances of commas and punctuation that lead into statements or clauses, topics related to social media engagement and interactions,terms related to historical events and their socio-economic implications
62,0.2152, instances of commas and punctuation that lead into statements or clauses, structured data presentation and numerical information,terms related to historical events and their socio-economic implications
63,0.2152, instances of commas and punctuation that lead into statements or clauses, frequencies of occurrences or items in lists and counts,terms related to historical events and their socio-economic implications
64,0.2152, instances of commas and punctuation that lead into statements or clauses," references to gender, race, and social representation issues",terms related to historical events and their socio-economic implications
65,0.2152, instances of commas and punctuation that lead into statements or clauses, coordinating conjunctions used to connect clauses or phrases,terms related to historical events and their socio-economic implications
66,0.2028,legal terminology and concepts related to court proceedings,legal terminology and concepts related to court proceedings, phrases related to marriage and family relationships
67,0.2,parameters and variable options in code context, coordinating conjunctions used to connect clauses or phrases,elements related to error handling and message formatting in code
68,-0.1985,terms related to economic factors and confidence levels in financial contexts,terms related to product quality and effectiveness, expressions of contrast or concession
69,-0.1985,terms related to economic factors and confidence levels in financial contexts,references to design elements that maximize space efficiency, expressions of contrast or concession
70,-0.1976, references to policy and decision-making,references to cause-and-effect relationships,"situations related to legal terminology, particularly regarding court rulings and proceedings"
71,-0.1976, references to policy and decision-making,references to bathrooms and related fixtures,"situations related to legal terminology, particularly regarding court rulings and proceedings"
72,-0.1976, references to policy and decision-making,discussions about social relationships and community dynamics,"situations related to legal terminology, particularly regarding court rulings and proceedings"
73,-0.1976, references to policy and decision-making,terms related to the population and cultural aspects of indigenous groups,"situations related to legal terminology, particularly regarding court rulings and proceedings"
74,-0.1976, references to policy and decision-making,specific chemical compounds and their variations,"situations related to legal terminology, particularly regarding court rulings and proceedings"
75,-0.1976, references to policy and decision-making,sentences that discuss expressing gratitude or calling for action,"situations related to legal terminology, particularly regarding court rulings and proceedings"
76,-0.1976, references to policy and decision-making,phrases indicating recalls or defects in products,"situations related to legal terminology, particularly regarding court rulings and proceedings"
77,-0.1976, references to policy and decision-making, coordinating conjunctions used to connect clauses or phrases,"situations related to legal terminology, particularly regarding court rulings and proceedings"
78,-0.1976, references to policy and decision-making, references to specific medical conditions and diagnostic terms,"situations related to legal terminology, particularly regarding court rulings and proceedings"
79,-0.1976, references to policy and decision-making, mathematical symbols or formatting related to equations,"situations related to legal terminology, particularly regarding court rulings and proceedings"
80,-0.1965,legal terminology and concepts related to court proceedings,legal terminology and concepts related to court proceedings, references to time-related events or durations
81,0.1935,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives, markers that indicate the beginning or end of a document
82,0.1935,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles", markers that indicate the beginning or end of a document
83,0.1935,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers, markers that indicate the beginning or end of a document
84,0.1935,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations, markers that indicate the beginning or end of a document
85,0.1935,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces, markers that indicate the beginning or end of a document
86,0.1935,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts", markers that indicate the beginning or end of a document
87,0.1935,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops, markers that indicate the beginning or end of a document
88,0.1935,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings, markers that indicate the beginning or end of a document
89,0.1935,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts, markers that indicate the beginning or end of a document
90,0.1935,specific structural elements or commands in programming and mathematical contexts,references to diabetes, markers that indicate the beginning or end of a document
91,0.1935,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts, markers that indicate the beginning or end of a document
92,0.1935,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements, markers that indicate the beginning or end of a document
93,0.1935,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems, markers that indicate the beginning or end of a document
94,0.1935,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation", markers that indicate the beginning or end of a document
95,0.1935,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation, markers that indicate the beginning or end of a document
96,0.1935,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""", markers that indicate the beginning or end of a document
97,0.1935,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts, markers that indicate the beginning or end of a document
98,0.1935,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code, markers that indicate the beginning or end of a document
99,0.1935,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming, markers that indicate the beginning or end of a document
100,-0.1926, programming constructs related to data types and structures, programming constructs related to data types and structures, phrases related to marriage and family relationships
101,-0.1926, programming constructs related to data types and structures,references to design elements that maximize space efficiency, phrases related to marriage and family relationships
102,0.1924,references to various forms of monitoring and assessment processes in clinical or experimental settings, HTML or XML syntax elements, keywords related to medical assessments or conditions
103,0.1924,references to various forms of monitoring and assessment processes in clinical or experimental settings,phrases related to identification and documentation, keywords related to medical assessments or conditions
104,0.1924,references to various forms of monitoring and assessment processes in clinical or experimental settings,special characters and symbols in the text, keywords related to medical assessments or conditions
105,0.1924,references to various forms of monitoring and assessment processes in clinical or experimental settings,references to statistical methods and models in academic publications, keywords related to medical assessments or conditions
106,0.1908, frequencies of occurrences or items in lists and counts," programming language syntax elements, particularly those related to function and error handling",the presence of numerical data or statistically significant figures
107,0.1908, frequencies of occurrences or items in lists and counts,references to criminal activity and legal proceedings,the presence of numerical data or statistically significant figures
108,0.1908, frequencies of occurrences or items in lists and counts, programming code elements and syntax,the presence of numerical data or statistically significant figures
109,0.1908, frequencies of occurrences or items in lists and counts,keywords and phrases related to programming logic and structures in a code context,the presence of numerical data or statistically significant figures
110,0.1908, frequencies of occurrences or items in lists and counts, references to specific time markers or temporal events,the presence of numerical data or statistically significant figures
111,0.1908, frequencies of occurrences or items in lists and counts,references to government officials and their roles,the presence of numerical data or statistically significant figures
112,0.1908, frequencies of occurrences or items in lists and counts,references to items or objects in a structured format,the presence of numerical data or statistically significant figures
113,0.1908, frequencies of occurrences or items in lists and counts, coding references and terminology related to application structure and components,the presence of numerical data or statistically significant figures
114,0.1908, frequencies of occurrences or items in lists and counts,technical terms and phrases related to scientific analysis and research methodologies,the presence of numerical data or statistically significant figures
115,0.1908, frequencies of occurrences or items in lists and counts,terms related to architecture and architectural design,the presence of numerical data or statistically significant figures
116,0.1908, frequencies of occurrences or items in lists and counts,mentions of family relationships and their roles in military contexts,the presence of numerical data or statistically significant figures
117,0.1908, frequencies of occurrences or items in lists and counts,"references to specific companies, products, and notable figures in the audio and entertainment industry",the presence of numerical data or statistically significant figures
118,0.1908, frequencies of occurrences or items in lists and counts,elements related to data structures and their operations,the presence of numerical data or statistically significant figures
119,0.1908, frequencies of occurrences or items in lists and counts,references to numerical values and their occurrences,the presence of numerical data or statistically significant figures
120,0.1908, frequencies of occurrences or items in lists and counts, expressions of indifference or lack of concern,the presence of numerical data or statistically significant figures
121,0.1908, frequencies of occurrences or items in lists and counts,references and citations in a document,the presence of numerical data or statistically significant figures
122,0.1908, frequencies of occurrences or items in lists and counts,terms related to modifications and adjustments in settings or parameters,the presence of numerical data or statistically significant figures
123,0.1908, frequencies of occurrences or items in lists and counts,content related to charitable events and community support initiatives,the presence of numerical data or statistically significant figures
124,0.1908, frequencies of occurrences or items in lists and counts,software build and testing information,the presence of numerical data or statistically significant figures
125,0.1908, frequencies of occurrences or items in lists and counts,phrases and terms associated with personal connections and emotional experiences,the presence of numerical data or statistically significant figures
126,0.1908, frequencies of occurrences or items in lists and counts, references to traditional practices or concepts,the presence of numerical data or statistically significant figures
127,0.1908, frequencies of occurrences or items in lists and counts,the presence of legal or judicial terminology,the presence of numerical data or statistically significant figures
128,0.1908, frequencies of occurrences or items in lists and counts,"actions involving ""catch"" and similar verbs",the presence of numerical data or statistically significant figures
129,0.1908, frequencies of occurrences or items in lists and counts,conditional statements or phrases,the presence of numerical data or statistically significant figures
130,-0.19, punctuations and their associated contextual placements in text,mentions of family relationships and their roles in military contexts,references to names and personal identifiers
131,-0.19, punctuations and their associated contextual placements in text,references to items or objects in a structured format,references to names and personal identifiers
132,-0.19, punctuations and their associated contextual placements in text,elements related to data structures and their operations,references to names and personal identifiers
133,-0.19, punctuations and their associated contextual placements in text,terms related to modifications and adjustments in settings or parameters,references to names and personal identifiers
134,0.1896, punctuations and their associated contextual placements in text,references to items or objects in a structured format, phrases and terms related to legal and procedural contexts
135,0.1896, punctuations and their associated contextual placements in text,mentions of family relationships and their roles in military contexts, phrases and terms related to legal and procedural contexts
136,0.1896, punctuations and their associated contextual placements in text,terms related to modifications and adjustments in settings or parameters, phrases and terms related to legal and procedural contexts
137,0.1896, punctuations and their associated contextual placements in text,elements related to data structures and their operations, phrases and terms related to legal and procedural contexts
138,-0.1892,specific structural elements or commands in programming and mathematical contexts, references to view-related components in code,document structures or formatting elements
139,-0.1892,specific structural elements or commands in programming and mathematical contexts,references to diabetes,document structures or formatting elements
140,-0.1892,specific structural elements or commands in programming and mathematical contexts," references to statistical data or variables represented by ""Y""",document structures or formatting elements
141,-0.1892,specific structural elements or commands in programming and mathematical contexts,mathematical expressions and formatting related to equations,document structures or formatting elements
142,-0.1892,specific structural elements or commands in programming and mathematical contexts,elements related to code iterations and loops,document structures or formatting elements
143,-0.1892,specific structural elements or commands in programming and mathematical contexts,instructions and guides for how to perform tasks or solve problems,document structures or formatting elements
144,-0.1892,specific structural elements or commands in programming and mathematical contexts,specific structural elements or commands in programming and mathematical contexts,document structures or formatting elements
145,-0.1892,specific structural elements or commands in programming and mathematical contexts,terms and identifiers related to programming and code generation in API documentation,document structures or formatting elements
146,-0.1892,specific structural elements or commands in programming and mathematical contexts,event handling and user interaction functions in programming contexts,document structures or formatting elements
147,-0.1892,specific structural elements or commands in programming and mathematical contexts, occurrences of significant numerical data and identifiers,document structures or formatting elements
148,-0.1892,specific structural elements or commands in programming and mathematical contexts,references to significant figures or events in revolutionary contexts,document structures or formatting elements
149,-0.1892,specific structural elements or commands in programming and mathematical contexts,"references to key roles and positions within organizations, particularly in relation to leadership and formal titles",document structures or formatting elements
150,-0.1892,specific structural elements or commands in programming and mathematical contexts,conditional statements and their structure in programming,document structures or formatting elements
151,-0.1892,specific structural elements or commands in programming and mathematical contexts,references to characters and relationships in narratives,document structures or formatting elements
152,-0.1892,specific structural elements or commands in programming and mathematical contexts,HTML or XML-like markup tags and structural elements,document structures or formatting elements
153,-0.1892,specific structural elements or commands in programming and mathematical contexts,references to apartments and living spaces,document structures or formatting elements
154,-0.1892,specific structural elements or commands in programming and mathematical contexts," instances of the word ""ever"" in various contexts",document structures or formatting elements
155,-0.1892,specific structural elements or commands in programming and mathematical contexts, phrases related to legal procedures and court rulings,document structures or formatting elements
156,-0.1892,specific structural elements or commands in programming and mathematical contexts,"special characters, whitespace, or formatting elements often used in coding or data representation",document structures or formatting elements
157,0.1887,distinct pieces of punctuation and sentence endings,terms related to architecture and architectural design," the word ""In"" and its variations, indicating a focus on references to time or context"
158,0.1887,distinct pieces of punctuation and sentence endings,elements related to data structures and their operations," the word ""In"" and its variations, indicating a focus on references to time or context"
159,0.1887,distinct pieces of punctuation and sentence endings, references to specific time markers or temporal events," the word ""In"" and its variations, indicating a focus on references to time or context"
160,0.1887,distinct pieces of punctuation and sentence endings,terms related to modifications and adjustments in settings or parameters," the word ""In"" and its variations, indicating a focus on references to time or context"
161,0.1887,distinct pieces of punctuation and sentence endings,"references to specific companies, products, and notable figures in the audio and entertainment industry"," the word ""In"" and its variations, indicating a focus on references to time or context"
162,0.1887,distinct pieces of punctuation and sentence endings,references to items or objects in a structured format," the word ""In"" and its variations, indicating a focus on references to time or context"
163,0.1879, programming constructs related to data types and structures, programming constructs related to data types and structures, references to time-related events or durations
164,0.1879, programming constructs related to data types and structures,references to design elements that maximize space efficiency, references to time-related events or durations
165,-0.1876,the beginning of a document or section,parentheses and function calls within code,terms related to scientific research and medical conditions
166,0.1864,terms related to economic factors and confidence levels in financial contexts,references to design elements that maximize space efficiency,time frames and sequences of actions
167,0.1864,terms related to economic factors and confidence levels in financial contexts,terms related to product quality and effectiveness,time frames and sequences of actions
168,0.1846,the beginning of a document or section,parentheses and function calls within code,formal titles and legal terminology related to court cases
169,0.184,references to matrices and array structures,elements related to data structures and their operations,administrative information and contact details related to services
170,0.184,references to matrices and array structures,references to criminal activity and legal proceedings,administrative information and contact details related to services
171,0.184,references to matrices and array structures,references to items or objects in a structured format,administrative information and contact details related to services
172,0.184,references to matrices and array structures,references and citations in a document,administrative information and contact details related to services
173,0.184,references to matrices and array structures,terms related to architecture and architectural design,administrative information and contact details related to services
174,0.1826, references to military events and significant historical actions,"proper nouns, particularly names of individuals",terms related to historical events and their socio-economic implications
175,0.1826, references to military events and significant historical actions, frequencies of occurrences or items in lists and counts,terms related to historical events and their socio-economic implications
176,0.1826, references to military events and significant historical actions,technical terms and scientific concepts related to biotechnology and coding,terms related to historical events and their socio-economic implications
177,-0.1774,terms related to mathematical concepts and operations within reproducing kernel Hilbert spaces, numerical patterns or symbols related to lists or sequences,"situations related to legal terminology, particularly regarding court rulings and proceedings"
178,-0.1763,HTML attributes and element classes used in forms and user interface components,elements related to data structures and their operations,references to names and personal identifiers
179,-0.175,"words related to medical conditions, specifically focusing on diseases or disorders",elements related to data structures and their operations, phrases and terms related to legal and procedural contexts
180,0.1742,HTML attributes and element classes used in forms and user interface components,elements related to data structures and their operations, phrases and terms related to legal and procedural contexts
181,0.1725, numerical sequences and values related to statistics or data representation,specific biochemical terms and nomenclature related to genetics and molecular biology,conjunctions and connectors in text
182,0.1721,"words related to medical conditions, specifically focusing on diseases or disorders",elements related to data structures and their operations,references to names and personal identifiers
183,0.1713,exception handling in code, structured data presentation and numerical information, keywords related to medical assessments or conditions
184,0.1713,exception handling in code,references to time and duration, keywords related to medical assessments or conditions
185,0.1711, phrases related to legal expenses and costs, specific numerical data or results,mathematical notation and concepts related to transformations and variables
186,0.1711, phrases related to legal expenses and costs, terminology and terms related to scientific analysis and data representation,mathematical notation and concepts related to transformations and variables
187,0.1711, phrases related to legal expenses and costs,references to familial or relational connections,mathematical notation and concepts related to transformations and variables
188,0.1711, phrases related to legal expenses and costs,expressions of unfortunate circumstances or negative outcomes,mathematical notation and concepts related to transformations and variables
189,0.1711, phrases related to legal expenses and costs, structured data presentation and numerical information,mathematical notation and concepts related to transformations and variables
190,0.1711, phrases related to legal expenses and costs, quantifiable statistics or measurements in data,mathematical notation and concepts related to transformations and variables
191,-0.1677, phrases related to legal expenses and costs, quantifiable statistics or measurements in data,descriptions of scientific experimental setups and materials used in research
192,-0.1677, phrases related to legal expenses and costs, terminology and terms related to scientific analysis and data representation,descriptions of scientific experimental setups and materials used in research
193,-0.1677, phrases related to legal expenses and costs, specific numerical data or results,descriptions of scientific experimental setups and materials used in research
194,-0.1677, phrases related to legal expenses and costs, structured data presentation and numerical information,descriptions of scientific experimental setups and materials used in research
195,-0.1677, phrases related to legal expenses and costs,references to familial or relational connections,descriptions of scientific experimental setups and materials used in research
196,-0.1677, phrases related to legal expenses and costs,expressions of unfortunate circumstances or negative outcomes,descriptions of scientific experimental setups and materials used in research
197,0.1671, references to military events and significant historical actions,technical terms and scientific concepts related to biotechnology and coding,elements related to error handling and message formatting in code
198,0.1671, references to military events and significant historical actions, frequencies of occurrences or items in lists and counts,elements related to error handling and message formatting in code
199,0.1671, references to military events and significant historical actions,"proper nouns, particularly names of individuals",elements related to error handling and message formatting in code
200,0.1641,"substrings and patterns in sequences, particularly those that resemble specific motifs or repeated sequences",references to items or objects in a structured format,references to variables and factors influencing specific medical conditions or research findings
201,0.163,names of individuals and their titles or professions," references to gender, race, and social representation issues",mentions of family relationships and heirships in obituaries
202,0.163,names of individuals and their titles or professions, frequencies of occurrences or items in lists and counts,mentions of family relationships and heirships in obituaries
203,0.163,names of individuals and their titles or professions, topics related to social media engagement and interactions,mentions of family relationships and heirships in obituaries
204,0.163,names of individuals and their titles or professions,"elements related to research, development, and inquiry in scientific and creative contexts",mentions of family relationships and heirships in obituaries
205,0.1603,code syntax and constructs related to handling errors and memory management, phrases related to authority and compliance, key moments and themes related to speeches and formal addresses
206,0.1587,"words related to medical conditions, specifically focusing on diseases or disorders",elements related to data structures and their operations,references to data types and programming constructs
207,0.1578,references to surface-related concepts and properties, numerical patterns or symbols related to lists or sequences,references to market-related terms and concepts
208,-0.1576, specific numerical data or results, numerical patterns or symbols related to lists or sequences,mathematical notation and concepts related to transformations and variables
209,-0.1576, specific numerical data or results,phrases related to food and drink preferences or offerings,mathematical notation and concepts related to transformations and variables
210,-0.1576, specific numerical data or results, phrases related to legal expenses and costs,mathematical notation and concepts related to transformations and variables
211,-0.1576, specific numerical data or results,negative portrayals of individuals or groups in relation to societal issues,mathematical notation and concepts related to transformations and variables
212,0.157,"programming-related keywords, particularly those associated with user interface elements in a development context",words related to physical interactions and conflicts,terms related to scientific research and medical conditions
213,0.1567,code syntax and constructs related to handling errors and memory management, phrases related to authority and compliance, expressions related to family relationships and survival
214,0.1561,mathematical notations and symbols, phrases related to authority and compliance,different types of hats and roofs
215,0.1561,mathematical notations and symbols,references to educational or professional affiliations and roles,different types of hats and roofs
216,0.156, specific numerical data or results,phrases related to food and drink preferences or offerings,descriptions of scientific experimental setups and materials used in research
217,0.156, specific numerical data or results,negative portrayals of individuals or groups in relation to societal issues,descriptions of scientific experimental setups and materials used in research
218,0.156, specific numerical data or results, phrases related to legal expenses and costs,descriptions of scientific experimental setups and materials used in research
219,0.156, specific numerical data or results, numerical patterns or symbols related to lists or sequences,descriptions of scientific experimental setups and materials used in research
220,0.1555,references to sports teams and related events, phrases related to legal expenses and costs,
221,0.1555,references to sports teams and related events,domain names and URLs related to websites,
222,0.1555,references to sports teams and related events, numerical patterns or symbols related to lists or sequences,
223,0.1555,references to sports teams and related events,terms related to financial transactions and deposits,
224,0.1555,references to sports teams and related events,references to various medical conditions and their impacts,
225,0.1555,references to sports teams and related events,"elements related to programming syntax and structure, particularly in coding contexts",
226,0.1555,references to sports teams and related events," phrases related to intent, support, and assistance in various contexts",
227,0.1555,references to sports teams and related events,technical terms and specifications related to programming and data structures,
228,0.1555,references to sports teams and related events,instances of pre-trained components or methods used in programming and machine learning contexts,
229,0.1553,distinct pieces of punctuation and sentence endings,elements related to data structures and their operations, technical terms and definitions related to programming and data structures
230,0.1553,distinct pieces of punctuation and sentence endings,terms related to architecture and architectural design, technical terms and definitions related to programming and data structures
