,OV Circuit Value,Value Feature,Output Feature
148,-0.08795,4130:  technical terms related to networking or computer protocols,"8784: phrases related to computational or programming contexts, especially those involving variables, conditions, or specifications"
149,0.0879,12298: scientific or academic terminology and references,10402: CSS style properties and their attributes in coding
150,-0.087,11087: specific structural elements or commands in programming and mathematical contexts,14619:  phrases related to technical problems and troubleshooting in software development
151,-0.08673,13065: elements related to encoding and document processing in programming contexts,4772: words and phrases related to existential crises and emotional struggles
152,-0.0862,11087: specific structural elements or commands in programming and mathematical contexts,11080:  words related to movement or direction
153,0.086,14717:  code-related syntactical elements indicating assignments and error handling,13750: terms related to consent and approvals in research contexts
154,-0.08563,11087: specific structural elements or commands in programming and mathematical contexts,2699: descriptive attributes and structural details of architectural features
155,-0.08545,12744: phrases concerning gender equality and women's rights in the workplace,1874: references to medical conditions and associated terms related to implants and various health issues
156,-0.08527,2976: phrases that indicate personal statements or quotations,4127: comments and code block delimiters in programming text
157,0.0851,2743: discussions related to slavery and exploitative economic systems,"12918:  buttons, button-related actions, and user interface elements related to calculations or submissions"
158,0.085,5543: code related to graphical attributes and transformations,10187:  conjunctions and phrases indicating addition or connection
159,0.085,5166:  patterns of indentation or formatting in text,4384:  technical and programming-related keywords and structures
160,0.0849,"12330: references to political and social movements, particularly those marked by resistance or counter-revolutionary sentiments",10187:  conjunctions and phrases indicating addition or connection
161,0.0847,2670: terms related to quantification and statistical analysis in research,6799: references to costs associated with health care and other contextual indicators
162,-0.08417,7852: references to people in various professional roles and their relationships,"12918:  buttons, button-related actions, and user interface elements related to calculations or submissions"
163,-0.0841,349:  contractions and possessive words,8524:  code-related function definitions and their parameters
164,0.084,3851:  terms related to programming concepts or functions,10964: mathematical terms and symbols
165,0.0837,5755:  references to controversial political figures and their actions,4772: words and phrases related to existential crises and emotional struggles
166,-0.0837,11087: specific structural elements or commands in programming and mathematical contexts,15079:  references to technical topics or specific programming concepts
167,0.08356,16242:  the keyword 'final' in programming contexts,4330: descriptive phrases related to visual appearances and technical details
168,0.0835,11087: specific structural elements or commands in programming and mathematical contexts,"7770:  patterns and structures in data formatting, particularly related to code or markup languages"
169,0.0835,10654: terms related to regulation and regulatory frameworks in various contexts,15841:  discourse markers and indicators of structure in text
170,-0.0834,3851:  terms related to programming concepts or functions,14393:  strings that indicate formatting or structured data outputs
171,0.0833,11087: specific structural elements or commands in programming and mathematical contexts,12549:  structural elements and formatting in markup or programming languages
172,0.0833,1664: keywords and components related to gaming software and frameworks,10187:  conjunctions and phrases indicating addition or connection
173,-0.0831,11818: locations and movements within physical spaces,"10833: technical terms related to programming, referencing, and document structure"
174,0.08307,1851:  references to view-related components in code,10964: mathematical terms and symbols
175,0.0828,3467:  markers indicating the beginning of sections or important headings in the text,12620: references to judicious considerations and the implications of legal determinations
176,0.08276,4239: references to legal arguments and assertions in a judicial context,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
177,0.0827,9620: structured data related to telecommunication statistics and subscription details,7075: conditional statements and scenarios related to potential outcomes or actions
178,-0.08264,1851:  references to view-related components in code,14393:  strings that indicate formatting or structured data outputs
179,-0.08234,14717:  code-related syntactical elements indicating assignments and error handling,3675: numerical values and financial figures related to donations and earnings
180,-0.0823,13286: keywords and terms related to viruses and mutations,13035:  feedback on service quality and customer satisfaction
181,0.0822,2976: phrases that indicate personal statements or quotations,10856: discussions about government and financial governance
182,-0.08215,7748: code segments that involve object instantiation and assignments,5013:  formatting elements and structuring delimiters in text
183,0.0821,13286: keywords and terms related to viruses and mutations,13949:  percentage values in text
184,0.0821,11526:  phrases that indicate a necessity or requirement in a context,10187:  conjunctions and phrases indicating addition or connection
185,-0.082,4627: references to significant figures or events in revolutionary contexts,14393:  strings that indicate formatting or structured data outputs
186,0.082,819:  structured data presentation and numerical information,1635:  textual elements indicating references or citations within academic or formal writing
187,0.0819,4627: references to significant figures or events in revolutionary contexts,10964: mathematical terms and symbols
188,0.08185,8507:  programming-related syntax and code structures,15841:  discourse markers and indicators of structure in text
189,0.0818,9569: default case statements in code logic,9340:  references to categories and identifiers related to film genres
190,-0.08167,11087: specific structural elements or commands in programming and mathematical contexts,9872:  terms and constructs related to threading and concurrency in programming
191,0.0816,6327: statements that indicate a modification or adjustment in a process or argument,4892:  coding-related terms related to file handling and exceptions in programming
192,-0.0815,6327: statements that indicate a modification or adjustment in a process or argument,3004:  elements related to testing and quizzes
193,0.0814,6470:  punctuation marks and certain other formatting elements in the text,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
194,-0.0812,11087: specific structural elements or commands in programming and mathematical contexts,6573:  terms related to processes and actions within various contexts
195,-0.08093,14689:  numerical values and phone numbers,13302:  code annotations and documentation comments
196,-0.08093,819:  structured data presentation and numerical information,"9171:  special characters, symbols, or formatting often used in written content"
197,0.0809,5245: terms related to computational processes and programming constructs,4836:  mathematical symbols and operators
198,0.0808,16242:  the keyword 'final' in programming contexts,10187:  conjunctions and phrases indicating addition or connection
199,0.0808,1413: URLs and web resource links,5159:  tokens indicating the beginning of a new segment or context within the text
200,0.0806,11087: specific structural elements or commands in programming and mathematical contexts,1635:  textual elements indicating references or citations within academic or formal writing
201,-0.0805,11636: symbols and mathematical notations related to equations or notation,"14232: references to social roles and expectations, particularly regarding gender and authority"
202,0.08044,12085: instructions and guides for how to perform tasks or solve problems,10964: mathematical terms and symbols
203,0.0804,15871: keywords and structures related to programming and data types,7691: names of individuals and their associated roles or titles
204,-0.0804,11087: specific structural elements or commands in programming and mathematical contexts,15157: terms and concepts related to computational science methods and structures
205,0.0802,"12321: proper nouns, specifically names of people",6692: phrases indicating connections between significant political figures and historical events
206,0.0802,3851:  terms related to programming concepts or functions,9340:  references to categories and identifiers related to film genres
207,-0.08014,12085: instructions and guides for how to perform tasks or solve problems,14393:  strings that indicate formatting or structured data outputs
208,0.07996,11074:  references to date and time functions in programming,1874: references to medical conditions and associated terms related to implants and various health issues
209,-0.0799,"12321: proper nouns, specifically names of people",8885:  programming concepts related to system checks and configurations
210,0.0798,13286: keywords and terms related to viruses and mutations,"9927: phrases or terms related to ""initial"" or ""beginning"" states and conditions"
211,0.07965,15871: keywords and structures related to programming and data types,9013: references to mutual relationships and interactions between individuals
212,-0.0796,11087: specific structural elements or commands in programming and mathematical contexts,11135:  references to research studies and articles in academic publications
213,0.0796,10780: elements related to HTML and JavaScript structures,9049:  syntactical constructs and function definitions in programming languages
214,0.0795,3154: code-related references to class instances and errors,9013: references to mutual relationships and interactions between individuals
215,0.0795,3205: mathematical symbols and notation related to equations,9013: references to mutual relationships and interactions between individuals
216,0.0794,2193:  Java method declarations and overrides,6983: terms related to software and publishing identifiers
217,0.0793,1189: commands or instructions related to processing data or managing functions,12083: questions and responses related to logical operations and conditions
218,0.0792,12033:  punctuation and structural elements in academic writing,15451:  markers indicating the start of a new segment or topic in a document
219,0.07916,11087: specific structural elements or commands in programming and mathematical contexts,9494:  structured data or metadata indicators related to statistics and identifiers
220,-0.07904,14717:  code-related syntactical elements indicating assignments and error handling,11367: quantities or references to time and measurement
221,-0.07886,11087: specific structural elements or commands in programming and mathematical contexts,4434: mathematical notations and symbols commonly used in academic papers
222,0.0786,5166:  patterns of indentation or formatting in text,13035:  feedback on service quality and customer satisfaction
223,-0.07855,9569: default case statements in code logic,8973: references to population characteristics and relationships between features in a dataset
224,-0.07855,3961:  portions of code related to proxy handling and environment variable checks,10402: CSS style properties and their attributes in coding
225,0.07855,14717:  code-related syntactical elements indicating assignments and error handling,"10762:  various aspects related to names and references of individuals, particularly in academic or formal contexts"
226,-0.0785,4701: references to mathematical or scientific elements and principles,8322: structured data types and mathematical function terminology
227,-0.07837,4458: elements related to mathematical functions and operations,4079:  instances of numerical data and coding syntax
228,-0.07837,11636: symbols and mathematical notations related to equations or notation,8423:  components related to inventions and technical designs
229,0.07837,120: technical terms and references related to scientific and mathematical concepts,4918: connections between genes and their regulatory sequences
230,-0.07794,2743: discussions related to slavery and exploitative economic systems,7819:  symbols and formatting commonly used in mathematical expressions
231,0.07794,9569: default case statements in code logic,10964: mathematical terms and symbols
232,-0.07776,"5945:  numerical parameters or attributes, particularly those related to maximum and minimum values",10402: CSS style properties and their attributes in coding
233,0.0776,14736: scientific terms and measurements related to study results,13620:  references to comparisons and relationships between different entities or groups
234,-0.0775,5755:  references to controversial political figures and their actions,4855: structured data related to academic or technical licensing and regulatory language
235,0.0774,"16139:  instances of the word ""ever"" in various contexts",10964: mathematical terms and symbols
236,0.07733,2193:  Java method declarations and overrides,"2074: references to algorithms, classifications, and methods involved in data processing and analysis"
237,-0.0772,9569: default case statements in code logic,14393:  strings that indicate formatting or structured data outputs
238,0.07715,4384:  phrases related to customer service and assistance,2914: elements and attributes in Android XML layout files
239,-0.07715,11087: specific structural elements or commands in programming and mathematical contexts,"12889:  elements related to figures, tables, and abbreviations in technical documents"
240,-0.0771,3851:  terms related to programming concepts or functions,8973: references to population characteristics and relationships between features in a dataset
241,-0.077,"16139:  instances of the word ""ever"" in various contexts",14393:  strings that indicate formatting or structured data outputs
242,0.07697,14806: references to scientific institutions and entities related to medical and biological contexts,5740: references to political actions and controversies involving the FBI and governmental investigations
243,0.07697,8690: mathematical expressions and formatting related to equations,10964: mathematical terms and symbols
244,-0.0769,8690: mathematical expressions and formatting related to equations,14393:  strings that indicate formatting or structured data outputs
245,0.0769,11477: scientific terminology related to evolutionary biology and genetics,12620: references to judicious considerations and the implications of legal determinations
246,-0.07684,6879: technical terms and concepts related to scientific methods and measurements,"1667: technical terms and mathematical expressions related to processes, particularly in a scientific or analytical context"
247,0.0767,1470: bracketed mathematical expressions or references,"15879: text related to specific goals, projects, and measurable objectives in healthcare or community health initiatives"
248,0.0767,13157: elements related to trials and legal processes,9340:  references to categories and identifiers related to film genres
249,0.0767,1222: references to collaboration and cooperation,10964: mathematical terms and symbols
250,0.07666,12501: function definitions and method calls in code,1874: references to medical conditions and associated terms related to implants and various health issues
251,-0.0766,1222: references to collaboration and cooperation,14393:  strings that indicate formatting or structured data outputs
252,0.07654,11087: specific structural elements or commands in programming and mathematical contexts,"7871: references to specific individuals, organizations, or events related to awards and recognitions"
253,-0.0764,"9289: numeric values and structured formats, particularly those that appear in data representations and web links",7819:  symbols and formatting commonly used in mathematical expressions
254,0.07635,14806: references to scientific institutions and entities related to medical and biological contexts,2642:  phrases indicating knowledge or awareness of events and information
255,-0.07623,6879: technical terms and concepts related to scientific methods and measurements,4918: connections between genes and their regulatory sequences
256,-0.076,13157: elements related to trials and legal processes,8973: references to population characteristics and relationships between features in a dataset
257,-0.076,"237: the name ""John"" in various contexts",4384:  technical and programming-related keywords and structures
258,0.076,"237: the name ""John"" in various contexts",9255: mentions of jobs and employment-related topics
259,-0.0759,5166:  patterns of indentation or formatting in text,13949:  percentage values in text
260,-0.0758,11087: specific structural elements or commands in programming and mathematical contexts,13173:  topics related to economic frameworks and their implications
261,0.07574,13411: emotional connections and reactions related to individual experiences and societal issues,5013:  formatting elements and structuring delimiters in text
262,-0.07556,4093:  non-standard whitespace or formatting characters in text,3675: numerical values and financial figures related to donations and earnings
263,0.07556,4776: references to education and educational systems,10480: 
264,0.0754,11087: specific structural elements or commands in programming and mathematical contexts,140:  mathematical symbols and syntax used in equations or programming code
265,0.0753,9630: sections of text with repeated characters or sequences,9013: references to mutual relationships and interactions between individuals
266,-0.0753,13271: references to metrics or assessments related to health or medical conditions,8322: structured data types and mathematical function terminology
267,0.0753,4256: technical terms related to scientific procedures and materials,15841:  discourse markers and indicators of structure in text
268,0.07526,6495: phrases related to user permissions and access rights,"9695: specific names or identifiers related to individuals, locations, or entities"
269,0.07526,13411: emotional connections and reactions related to individual experiences and societal issues,4384:  technical and programming-related keywords and structures
270,-0.07495,5245: terms related to computational processes and programming constructs,2914: elements and attributes in Android XML layout files
271,-0.0749,2033: terms related to medical and scientific research advancements,10964: mathematical terms and symbols
272,0.0748,"6602: sentences that emphasize the subject ""it"" in various contexts",12044:  instances of plate-related phrases and discussions around culinary experiences
273,0.07477,5804: technical code and programming-related terms,5513: references to reviews and feedback processes
274,0.0746,4714: formatting symbols and special characters in scientific or mathematical contexts,"14232: references to social roles and expectations, particularly regarding gender and authority"
275,0.0746,6967: statements or questions related to conditional logic or assertions concerning scenarios,"14150:  references to local entities, organizations, or contexts"
276,0.0745,1664: keywords and components related to gaming software and frameworks,4330: descriptive phrases related to visual appearances and technical details
277,0.0745,5719: sentence-ending punctuation marks,6692: phrases indicating connections between significant political figures and historical events
278,-0.07446,12033:  punctuation and structural elements in academic writing,5947: terms associated with nuclear energy and its applications
279,0.0744,2033: terms related to medical and scientific research advancements,14393:  strings that indicate formatting or structured data outputs
280,-0.07434,1470: bracketed mathematical expressions or references,10794:  references to specific attributes or benefits related to products and services
281,0.0743,7185: measurement units related to length and volume,12083: questions and responses related to logical operations and conditions
282,0.0742,14689:  numerical values and phone numbers,4918: connections between genes and their regulatory sequences
283,-0.07416,"8252:  mentions of the ""mi"" RNA family",9316: elements related to food markets and dining options
284,-0.07416,7948: specific names and references related to medical terms and individuals involved in clinical contexts,9340:  references to categories and identifiers related to film genres
285,0.0741,8517:  numerical patterns or symbols related to lists or sequences,2699: descriptive attributes and structural details of architectural features
286,-0.07404,5719: sentence-ending punctuation marks,8885:  programming concepts related to system checks and configurations
287,0.0739,"13206: structured data and programming constructs related to data processing and management, particularly in a coding or software development context",4384:  technical and programming-related keywords and structures
288,0.0739,12501: function definitions and method calls in code,4330: descriptive phrases related to visual appearances and technical details
289,0.0739,4239: references to legal arguments and assertions in a judicial context,"14232: references to social roles and expectations, particularly regarding gender and authority"
290,0.07385,"8252:  mentions of the ""mi"" RNA family",6485:  technical terms and references related to system components and configurations
